18846 = { 
ItemId = 1053262
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20836 = { 
SN = 92001990
ItemId = 1012691
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20837 = { 
SN = 92001991
ItemId = 1022286
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20838 = { 
SN = 92001992
ItemId = 1005365
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20839 = { 
SN = 92001993
ItemId = 1702909
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20840 = { 
SN = 92001994
ItemId = 5390037
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20841 = { 
SN = 92001995
ItemId = 5060048
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20842 = { 
SN = 92001996
ItemId = 1005389
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20843 = { 
SN = 92001997
ItemId = 1005390
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20844 = { 
SN = 92001998
ItemId = 1115085
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20845 = { 
SN = 92001999
ItemId = 1115174
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20846 = { 
SN = 92002000
ItemId = 1103179
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20847 = { 
SN = 92002001
ItemId = 5000977
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20848 = { 
SN = 92002002
ItemId = 1802693
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20849 = { 
SN = 92002003
ItemId = 1702329
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20850 = { 
SN = 92002004
ItemId = 1702455
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20851 = { 
SN = 92002005
ItemId = 1042024
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20852 = { 
SN = 92002006
ItemId = 1042018
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20853 = { 
SN = 92002007
ItemId = 1062081
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20854 = { 
SN = 92002008
ItemId = 1062033
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20855 = { 
SN = 92002009
ItemId = 1052137
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20856 = { 
SN = 92002010
ItemId = 1053103
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20857 = { 
SN = 92002011
ItemId = 1072337
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20858 = { 
SN = 92002012
ItemId = 1072325
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20859 = { 
SN = 92002013
ItemId = 1082040
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20860 = { 
SN = 92002014
ItemId = 1082255
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20861 = { 
SN = 92002015
ItemId = 1702366
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20862 = { 
SN = 92002016
ItemId = 1702541
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20863 = { 
SN = 92002017
ItemId = 1042031
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20864 = { 
SN = 92002018
ItemId = 1042096
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20865 = { 
SN = 92002019
ItemId = 1062028
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20866 = { 
SN = 92002020
ItemId = 1062065
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20867 = { 
SN = 92002021
ItemId = 1052661
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20868 = { 
SN = 92002022
ItemId = 1052078
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20869 = { 
SN = 92002023
ItemId = 1072245
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20870 = { 
SN = 92002024
ItemId = 1072231
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20871 = { 
SN = 92002025
ItemId = 1082058
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20872 = { 
SN = 92002026
ItemId = 1082549
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20873 = { 
SN = 92002027
ItemId = 1702506
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20874 = { 
SN = 92002028
ItemId = 1702217
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20875 = { 
SN = 92002029
ItemId = 1042047
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20876 = { 
SN = 92002030
ItemId = 1042029
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20877 = { 
SN = 92002031
ItemId = 1062227
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20878 = { 
SN = 92002032
ItemId = 1062031
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20879 = { 
SN = 92002033
ItemId = 1053115
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20880 = { 
SN = 92002034
ItemId = 1053252
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20881 = { 
SN = 92002035
ItemId = 1072233
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20882 = { 
SN = 92002036
ItemId = 1072180
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20883 = { 
SN = 92002037
ItemId = 1082715
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20884 = { 
SN = 92002038
ItemId = 1082078
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20885 = { 
SN = 92002039
ItemId = 1005396
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20886 = { 
SN = 92002040
ItemId = 1032312
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20887 = { 
SN = 92002041
ItemId = 1022289
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20888 = { 
SN = 92002042
ItemId = 1103211
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20889 = { 
SN = 92002043
ItemId = 5121094
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20890 = { 
SN = 92002044
ItemId = 5121095
Count = 1
Price = 3
Bonus = 0
Period = 3
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20891 = { 
SN = 92002045
ItemId = 5121096
Count = 1
Price = 3
Bonus = 0
Period = 3
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20892 = { 
SN = 92002046
ItemId = 5680672
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20893 = { 
SN = 92002047
ItemId = 5680673
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20894 = { 
SN = 92002048
ItemId = 1115168
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20895 = { 
SN = 92002049
ItemId = 1115079
Count = 1
Price = 1
Bonus = 0
Period = 30
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20896 = { 
SN = 92002050
ItemId = 1004870
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20897 = { 
SN = 92002051
ItemId = 1005267
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20898 = { 
SN = 92002052
ItemId = 5010173
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20899 = { 
SN = 92002053
ItemId = 1702914
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20900 = { 
SN = 92002054
ItemId = 1103174
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20901 = { 
SN = 92002055
ItemId = 5151036
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20902 = { 
SN = 92002056
ItemId = 5153015
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20903 = { 
SN = 92002057
ItemId = 5152091
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20904 = { 
SN = 92002058
ItemId = 5150093
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20905 = { 
SN = 92002059
ItemId = 1005006
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20906 = { 
SN = 92002060
ItemId = 1005007
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20907 = { 
SN = 92002061
ItemId = 1005008
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20908 = { 
SN = 92002062
ItemId = 1005009
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20909 = { 
SN = 92002063
ItemId = 1005010
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20910 = { 
SN = 92002064
ItemId = 1005011
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20911 = { 
SN = 92002065
ItemId = 1005012
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20912 = { 
SN = 92002066
ItemId = 1005013
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20913 = { 
SN = 92002067
ItemId = 5170000
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20914 = { 
SN = 92002068
ItemId = 1115132
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20915 = { 
SN = 92002069
ItemId = 1115043
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20916 = { 
SN = 92002070
ItemId = 1004002
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20917 = { 
SN = 92002071
ItemId = 1050305
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20918 = { 
SN = 92002072
ItemId = 1070057
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20919 = { 
SN = 92002073
ItemId = 1102632
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20920 = { 
SN = 92002074
ItemId = 1702473
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20921 = { 
SN = 92002075
ItemId = 1051373
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20922 = { 
SN = 92002076
ItemId = 1071074
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20923 = { 
SN = 92002077
ItemId = 5152091
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20924 = { 
SN = 92002078
ItemId = 5150110
Count = 1
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20925 = { 
SN = 92002079
ItemId = 5062010
Count = 12
Price = 1
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20926 = { 
SN = 92002080
ItemId = 5002109
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20927 = { 
SN = 92002081
ItemId = 1802714
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20928 = { 
SN = 92002082
ItemId = 1702942
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20929 = { 
SN = 92002083
ItemId = 1005392
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20930 = { 
SN = 92002084
ItemId = 1053463
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20931 = { 
SN = 92002085
ItemId = 1103209
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20932 = { 
SN = 92002086
ItemId = 5010178
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20933 = { 
SN = 92002087
ItemId = 5069100
Count = 1
Price = 4500
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20934 = { 
SN = 92002088
ItemId = 5069000
Count = 1
Price = 2200
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20935 = { 
SN = 92002089
ItemId = 5068300
Count = 1
Price = 6500
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20936 = { 
SN = 92002090
ItemId = 5068300
Count = 1
Price = 6500
Bonus = 0
Period = 7
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 1
Refundable = 0
WebShop = 0
}
20937 = { 
SN = 92002091
ItemId = 5069100
Count = 1
Price = 4500
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20938 = { 
SN = 92002092
ItemId = 1702943
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20939 = { 
SN = 92002093
ItemId = 1005393
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20940 = { 
SN = 92002094
ItemId = 1053464
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20941 = { 
SN = 92002095
ItemId = 1103210
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20942 = { 
SN = 92002096
ItemId = 1003998
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20943 = { 
SN = 92002097
ItemId = 1050304
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20944 = { 
SN = 92002098
ItemId = 1051372
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20945 = { 
SN = 92002099
ItemId = 1072876
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20946 = { 
SN = 92002100
ItemId = 1082565
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20947 = { 
SN = 92002101
ItemId = 1702468
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20948 = { 
SN = 92002102
ItemId = 1115132
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20949 = { 
SN = 92002103
ItemId = 1115043
Count = 1
Price = 1
Bonus = 0
Period = 0
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20950 = { 
SN = 92002104
ItemId = 1000101
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20951 = { 
SN = 92002105
ItemId = 1050510
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20952 = { 
SN = 92002106
ItemId = 1070108
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20953 = { 
SN = 92002107
ItemId = 1001124
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20954 = { 
SN = 92002108
ItemId = 1051580
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20955 = { 
SN = 92002109
ItemId = 1071124
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20956 = { 
SN = 92002110
ItemId = 1005298
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20957 = { 
SN = 92002111
ItemId = 1082733
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20958 = { 
SN = 92002112
ItemId = 1050511
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20959 = { 
SN = 92002113
ItemId = 1070109
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20960 = { 
SN = 92002114
ItemId = 1051581
Count = 1
Price = 1
Bonus = 0
Period = 1
Priority = 0
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
20961 = { 
SN = 92002115
